UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
0496L,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
0496M,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/1/2023,17781B,B,,,,,,,,,,
0496N,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
0496P,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,11/26/2022,,,11/26/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,11/30/2022,"Obex Location, RLN Not Detected",,,,
0496Q,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
0496R,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
0496T,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
0496V,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,1/4/2023,,,1/4/2023,Pneumonia,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
0496W,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
0496X,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
